ammonia plant saf. relat. facil,ammonia plant safety and related facilities
an. asoc. quim. argent.,anales de la asociacion quimica argentina
an. quim.,anales de quimica
anal. biochem.,analytical biochemistry
anal. chem.,analytical chemistry
anal. chim.,annali di chimica
anal. chim. acta,analytica chimica acta
anal. commun.,analytical communications
anal. lett.,analytical letters
anal. sci.,analytical sciences
angew. chem. int. ed.,angewandte chemie international edition
angew. makromol. chem.,angewandte makromolekulare chemie
ann. chim. - sci. mat.,annales de chimie - science des materiaux
ann. chim. (rome),annali di chimica
ann. clin. biochem.,annals of clinical biochemistry
ann. n.y. acad. sci.,annals of the new york academy of sciences
annu. rep. med. chem.,annual reports in medicinal chemistry
annu. rep. prog. chem. sect. a: inorg. chem.,annual reports on the progress of chemistry, section a: inorganic chemistry
annu. rep. prog. chem. sect. b: org. chem.,annual reports on the progress of chemistry, section b: organic chemistry
annu. rep. prog. chem. sect. c: phys. chem.,annual reports on the progress of chemistry, section c: physical chemistry
annu. rev. biochem,annual review of biochemistry
annu. rev. biophys. biomol. struct.,annual review of biophysics and biomolecular structure
annu. rev. cell dev. biol.,annual review of cell and developmental biology
annu. rev. energy env.,annual review of energy and the environment
annu. rev. mater. sci.,annual review of materials science
annu. rev. pharmacool. toxicol.,annual review of pharmacology and toxicology
annu. rev. phys. chem.,annual review of physical chemistry
anti-cancer drug des.,anti-cancer drug design
anticancer res.,anticancer research
antimicrob. agents chemother.,antimicrobial agents and chemotherapy
antisense nucleic acid drug dev.,antisense and nucleic acid drug development
antiviral chem. chemother.,antiviral chemistry and chemotherapy
appita j.,appita journal
appl. biochem. biotechnol.,applied biochemistry and biotechnology
appl. catal., a,applied catalysis a
appl. catal., b,applied catalysis b
appl. compos. mater.,applied composite materials
appl. environ. microbiol.,applied and environment microbiology
appl. geochem.,applied geochemistry
appl. magn. reson.,applied magnetic resonance
appl. microbiol. biotechnol.,applied microbiology and biotechnology
appl. opt.,applied optics
appl. organomet. chem.,applied organometallic chemistry
appl. phys. a,applied physics a
appl. phys. b,applied physics b
appl. phys. lett.,applied physics letters
appl. radiat. isot.,applied radiation and isotopes
appl. sci. res.,applied scientific research
appl. spectrosc.,applied spectroscopy
appl. supercond.,applied superconductivity
appl. surf. sci.,applied surface science
appl. therm. eng.,applied thermal engineering
aquat. toxicol.,aquatic toxicology
arch. biochem. biophys.,archives of biochemistry and biophysics
arch. environ. contam. toxicol.,archives of environment contamination and toxicology
arch. environ. health,archives of environment health
arch. insect biochem. physiol.,archives of insect biochemistry and physiology
arch. microbiol.,archives of microbiology
arch. pharm.,archiv der pharmazie
arch. pharmacal res.,archives of pharmacal research
arch. physiol. biochem.,archives of physiology and biochemistry
arch. toxicol.,archives of toxicology
arch. virol,archives of virology
artif. cells, blood substitues, immobilization biotechnol.,artificial cells blood substitutes and immobilization biotechnology
arzneim.-forsch.,arzneimittel-forschung/drug research
asian j. chem.,asian journal of chemistry
asian j. spectro.,asian journal of spectroscopy
astm spec. tech. publ.,astm specical technical publication
astron. astrophys.,astronomy and astrophysics
astron. j.,astronomy journal
astrophys j.,astrophysics journal
at. data nucl. data tables,atomic data and nuclear data tables
at. energ.,atomic energy
at. spectrosc.,atomic spectroscopy
atmos. environ.,atmospheric environment
atomization sprays,atomization and sprays
aust. j. chem.,australian journal of chemistry
behav. pharmacol.,behavioural pharmacology
ber.,chemische berichte
ber. bunsen-ges. phys. chem,berichte der bunsen-gesellschaft physical chemistry chemical physics
biocatal. biotransform.,biocatalysis and biotransformation
biochem. arch.,biochemical archives
biochem. biophys. res. commun.,biochemical and biophysical research communications
biochem. cell biol.,biochemistry and cell biology-biochimie et biologie cellulaire
biochem. eng. j.,biochemical engineering journal
biochem. genet.,biochemical genetics
biochem. j,biochemical journal
biochem. med. metab. biol.,biochemical medicine and metabolic biology
biochem. mol. biol. int.,biochemistry and molecular biology international
biochem. mol. med.,biochemical and molecular medicine
biochem. pharmacol.,biochemical pharmacology
biochem. soc. symp.,biochemical society symposium
biochem. soc. trans.,biochemical society transactions
biochem. syst. ecol.,biochemical systematics and ecology
biochim. biophys. acta,biochimica et biophysica acta
bioconjugate chem.,bioconjugate chemistry
bioelectrochem. bioenerg.,bioelectrochemistry and bioenergetics
biog. amines,biogenic amines
biol. chem.,biological chemistry
biol. chem. hoppe-seyler,biological chemistry hoppe-seyler
biol. membr.,biological membranes
biol. pharm. bull.,biological and pharmaceutical bulletin
biol. trace elem. res.,biological trace element research
biomass bioenergy,biomass and bioenergy
biomed. chromatogr.,biomedical chromatography
bio-med. mater. eng.,bio-medical materials and engineering
biomed. microdevices,biomedical microdevices
biomol. eng,biomolecular engineering
bioorg. chem.,bioorganic chemistry
bioorg. khim,bioorganicheskaya khimiya (russian journal of bioorganic chemistry)
bioorg. med. chem.,bioorganic and medicinal chemistry
bioorg. med. chem. lett.,bioorganic and medicinal chemistry letters
biopharm. drug dispos.,biopharmaceutics and drug disposition
biophys. chem.,biophysical chemistry
biophys. j .,biophysical journal
bioprocess. eng.,bioprocess engineering
biorem. j.,bioremediation journal
bioresour. technol.,bioresource technology
biosci. rep.,bioscience reports
biosci., biotechnol., biochem.,bioscience biotechnology and biochemistry
biosens. bioelectron.,biosensors and bioelectronics
biotech. histochem.,biotechnic and histochemistry
biotechnol. adv.,biotechnology advances
biotechnol. appl. biochem.,biotechnology and applied biochemistry
biotechnol. bioeng.,biotechnology and bioengineering
biotechnol. biotechnol. equip.,biotechnology and biotechnological equipment
biotechnol. lett,biotechnology letters
biotechnol. progr.,biotechnology progress
biotechnol. tech.,biotechnology techniques
bol. soc. chil. quim.,boletin de la sociedad chilena de quimica
br. ceram. trans.,british ceramic transactions
br. corros. j.,british corrosion journal
br. j. pharmacol.,british jornal of pharmacology
brennst.-warme-kraft,brennstoff-warme-kraft
bull. chem. soc. jpn.,bulletin of the chemical society of japan
bull. electrochem.,bulletin of electrochemistry
bull. environ. contam. toxicol.,bulletin of environment contamination and toxicology
bull. exp. biol. med.,
bull. hist. chem.,bulletin for the history of chemistry
bull. korean chem. soc.,bulletin of the korean chemical society
bull. mater. sci.,bulletin of materials science
bull. pol. acad. sci., chem.,bulletin of the polish academy of sciences chemistry
bull. soc. chim. belg.,bulletin des societes chimiques belges
bull. soc. chim. fr.,bulletin de la societe chimique de france
c.r. acad. sci., ser. iia: sci. terre planets,comptes rendus de l' academie des sciences serie iia:sciences de la terre et des planets
c.r. acad. sci., ser. iib: mec., phys., chim., astron.,comptes rendus de l' academie des sciences serie iib:mecanique physique chimie astronomie
c.r. acad. sci., ser. iic: chim.,comptes rendus de l' academie des sciences serie iic:chemie
c.r. acad. sci., ser. iii,comptes rendus de l' academie des sciences serie iii: sciences de la vie
cah. inf. tech./rev metall,cahiers d'informations techniques / revue de metallurgie
calphad,calphad - computer coupling of phase diagrams and thermochemistry
can. ceram. q.,canadian ceramics quarterly
can. j. anal. sci. spectros.,canadian journal of analytical sciences and spectroscopy
can. j. biochem.,canadian journal of biochemistry
can. j. chem.,canadian journal of chemistry
can. j. chem. eng.,canadian journal of chemical engineering
can. j. microbiol.,canadian journal of microbiology
can. j. phys.,canadian journal of physics
can. j. physiol. pharmacol.,canadian journal of physiology and pharmacology
can. metall. q.,canadian metallurgical quarterly
can. min. j.,canadian mining journal
can. mineral.,canadian mineralogist
carbohydr. chem.,carbohydrate chemistry
carbohydr. lett.,carbohydrate letters
carbohydr. polym.,carbohydrate polymers
carbohydr. res.,carbohydrate research
cat. rev. - sci. eng.,catalysis reviews - science and engineering
catal. commun.,catalysis communications
catal. lett.,catalysis letters
catal. today,catalysis today
cell biochem. funct.,cell biochemistry and function
cell. physiol. biochem.,cellular physiology and biochemistry
cell. polym.,cellular polymers
cellul. chem. technol.,cellulose chemistry and technology
cem. concr. compos.,cement and concrete composites
cem. concr. res.,cement and concrete research
ceram. int.,ceramics international
ceram. silik.,ceramics - silikaty
ceram. trans.,ceramic transactions
cereal chem.,cereal chemistry
chem. anal. (warsaw),chemia analityczna
chem. -anlagen verfahren,chemie anlagen und verfahren
chem. aust.,chemistry in australia
chem. ber.,chemische berichte
chem. ber. recl.,chemische berichte-recueil
chem. biochem. eng. q.,chemical and biochemical engineering quarterly
chem. biol. interact.,chemico-biological interactions
chem. br.,chemistry in britain
chem. commun.,chemical communications
chem. eng. (london),chemical engineer (london)
chem. eng. (new york),chemical engineering (new york)
chem. eng. commun.,chemical engineering communications
chem. eng. j.,chemical engineering journal
chem. eng. news,chemical and engineering news
chem. eng. process.,chemical engineering and processing
chem. eng. prog.,chemical engineering progress
chem. eng. res. des.,chemical engineering research and design
chem. eng. sci.,chemical engineering science
chem. eng. technol.,chemical engineering and technology
chem. eur. j.,chemistry- a european journal
chem. eur. j.,chemistry a european journal
chem. express,chemistry express
chem. fibers int.,chemical fibers international
chem. geol.,chemical geology
chem. heterocycl. compd.,chemistry of heterocyclic compounds
chem. ind. (london),chemistry and industry
chem. ing. tech.,chemie ingenieur technik
chem. lett.,chemistry letters
chem. listy,chemicke listy
chem. mater.,chemistry of materials
chem. nat. compd.,chemistry of natural compounds
chem. pap. - chem. zvesti,chemical papers - chemicke zvesti
chem. pharm. bull.,chemical and pharmaceutical bulletin
chem. phys.,chemical physics
chem. phys. carbon,chemistry and physics of carbon
chem. phys. lett.,chemical physics letters
chem. phys. lipids,chemistry and physics of lipids
chem. process.,chemical processing
chem. res. toxicol.,chemical research in toxicology
chem. rev.,chemical reviews
chem. senses,chemical senses
chem. soc. rev.,chemical society reviews
chem. speciation bioavailability,chemical speciation and bioavailability
chem. tech.,chemtech
chem. tech. (leipzig),chemische technik
chem. technol. fuels oils,chemistry and technology of fuels and oils
chem. unserer zeit,chemie in unserer zeit
chem. vap. deposition,chemical vapor deposition
chem. week,chemical week
chemom. intell. lab. syst.,chemometrics and intelligent laborary systems
chin. chem. lett.,chinese chemical letters
chin. j. chem .,chinese journal of chemistry
chin. j. chem. eng.,chinese journal of chemical engineering
chin. j. nucl. phys.,chinese journal of nuclear physics
chin. j. polym. sci.,chinese journal of polymer science
chin. sci. bull.,chinese science bulletin
chromatogr. sci. ser.,chromatographic science series
cim bull.,cim bulletin
clays clay miner.,clays and clay minerals
clin. biochem.,clinical biochemistry
clin. chem.,clinical chemistry
clin. chim. acta,clinica chimica acta
collect. czech. chem. commun.,collection of czechoslovak chemical communications
colloid j.,colloid journal
colloid. polym. sci.,colloid and polymer science
colloids surf., a,colloids and surfaces a
colloids surf., b,colloids and surfaces b
comb. chem. high throughput screening,combinatorial chemistry and high throughput screening
combust. flame,combustion and flame
combust. sci. technol.,combustion science and technology
comments inorg. chem.,comments on inorganic chemistry
comp. biochem. physiol. a: physiol.,comparative biochemistry and physiology a: physiology
comp. biochem. physiol. b: biochem. mol. biol.,comparative biochemistry and physiology b: biochemistry and molecular biology
comp. biochem. physiol. c: pharmacol. toxicol.,comparative biochemistry and physiology c: pharmacology toxicology and endocrinology
compos. eng.,composites engineering
compos. interfaces,composite interfaces
compos. sci. technol.,composites science and technology
compos. struct.,composite structures
composites part a,composites part a applied science and manufacturing
composites part b,composites part b engineering
comput. chem. (oxford),computers and chemistry
comput. chem. eng.,computers and chemical engineering
comput. mater. sci.,computation materials science
comput. phys. commun.,computer physics communications
comput. theor. polym. sci.,computational and theoretical polymer science
concepts magn. reson.,concepts in magenetic resonance
concr. eng. int.,concrete engineering international
concr. int.,concrete international
concr. sci. eng.,concrete science and engineering
condens. matter phys.,condensed matter physics
condens. matter theor.,condensed matter theories
continuum mech. thermodyn.,continuum mechanics and thermodynamics
contrib. mineral. petrol.,contributions to mineralogy and petrology
coord. chem. rev.,coordination chemistry reviews
corros. rev.,corrosion reviews
corros. sci.,corrosion science
cpp chem. plants and process.,cpp chemical plants and processing
crit. rev. anal. chem.,critical reviews in analytical chemistry
crit. rev. biochem. mol. biol.,critical reviews in biochemistry and molecular biology
crit. rev. biotechnol.,critical reviews in biotechnology
crit. rev. env. sci. technol.,critical reviews in environment science and technology
crit. rev. solid state mater. sci.,critical reviews in solid state and materials sciences
crit. rev. toxicol.,critical reviews in toxicology
croat. chem. acta,croatica chemica acta
cryst. eng.,crystal engineering
cryst. growth des.,crystal growth and design
cryst. res. technol.,crystal research and technology
curr. opin. biotechnol.,current opinion in biotechnology
curr. opin. chem. biol.,current opinion in chemical biology
curr. opin. colloid interface sci.,current opinion in colloid and interface science
curr. opin. pharmacol.,current opinion in pharmacology
curr. opin. solid state mater. sci.,current opinion in solid state and materials science
curr. org. chem.,current organic chemistry
curr. plant sci. biotechnol. agric.,current plant science in biotechnology and agriculture
curr. top. med. chem.,current topics in medicinal chemistry
curr. top. membr.,current topics in membranes
dent. mater.,dental materials
diamond films technol.,diamond films and technology
diamond relat. mater.,diamond and related materials
dokl. akad. nauk,doklady akademii nauk
drug chem. toxicol.,drug and chemical toxicology
drug dev. ind. pharm.,drug development and industrial pharmacy
drug dev. res.,drug development research
drug discovery today,drug discovery today
drying technol.,drying technology
e, 
earth. planet. sci. lett.,earth and planetary science letters
ecol. eng.,ecological engineering
econ. geol.,economic geology and the bulletin of the society of economic geologists
ecotoxicol. environ. saf.,ecotoxicology and environment safety
educ. chem.,education in chemistry
electro- magnetobiol.,electro- and magnetobiology
electrochem. commun.,electrochemistry communications
electrochem. soc. interface,electrochemical society interface
electrochem. solid-state lett.,electrochemical and solid-state letters
electrochim. acta,electrochimica acta
electron technol.,electronic technology
electron. lett,electronics letters
embo j.,embo journal
energy convers. manage.,energy conversion and management
energy fuels,energy and fuels
eng. min. j.,engineering and mining journal
environ. carcinog. ecotoxicol. rev.,environment carcinogenesis and ecotoxicology reviews
environ. geochem. health,environmental geochemistry and health
environ. geol.,environmental geology
environ. health perspect.,environmental health perspectives
environ. microbiol.,environmental microbiology
environ. monit. assess.,environmental monitoring and assessment
environ. pollut.,environmental pollution
environ. prog.,environmental progress
environ. res.,environmental research
environ. sci. technol.,environmental science and technology
environ. technol.,environmental technology
environ. toxicol. chem.,environmental toxicology and chemistry
environ. toxicol. pharmacol.,environmental toxicology and pharmacology
environ. toxicol. water qual.,environmental toxicology and water quality
enzyme microb. technol.,enzyme and microbial technology
enzyme protein,enzyme and protein
erdol and kohle erdgas, petrochem.,erdol and kohle erdgas, petrochemie
eur. j. biochem.,european journal of biochemistry
eur. j. clin. chem. clin. biochem.,european journal of clinical chemistry and clinical biochemistry
eur. j. inorg. chem.,european journal of inorganic chemistry
eur. j. lipid sci. technol.,european journal of lipid science and technology
eur. j. mass spectrom.,european journal of mass spectrometry
eur. j. med. chem.,european journal of medical chemistry
eur. j. mineral.,european journal of mineralogy
eur. j. org. chem.,european journal of organic chemistry
eur. j. pharmacol.,european journal of pharmacology
