name,type
2d materials,6.937
3 biotech,1.361
3d printing and additive manufacturing,3.389
4or-a quarterly journal of operations research,1.559
aapg bulletin,2.77
aaps journal,3.423
aaps pharmscitech,2.451
aatcc journal of research,0.25
aatcc review,0
abacus-a journal of accounting finance and business studies,1.119
abdominal imaging,1.842
abhandlungen aus dem mathematischen seminar der universitat hamburg,0.481
academia-revista latinoamericana de administracion,0.237
academic emergency medicine,2.925
academic medicine,5.255
academic pediatrics,2.72
academic psychiatry,1.246
academic radiology,2.128
academy of management annals,11.115
academy of management journal,7.417
academy of management learning & education,2.426
academy of management perspectives,4.943
academy of management review,9.408
acarologia,0.667
accident analysis and prevention,2.685
accountability in research-policies and quality assurance,1.512
accounting and business research,0.911
accounting and finance,1.396
accounting auditing & accountability journal,2.732
accounting horizons,1.218
accounting organizations and society,2.158
accounting review,2.304
accounts of chemical research,20.268
accreditation and quality assurance,0.725
aci materials journal,1.183
aci structural journal,1.35
acm computing surveys,6.748
acm journal on computing and cultural heritage,0.5
acm journal on emerging technologies in computing systems,1.367
acm sigcomm computer communication review,2.008
acm sigplan notices,0.335
acm transactions on algorithms,1.458
acm transactions on applied perception,1.25
acm transactions on architecture and code optimization,1.636
acm transactions on asian and low-resource language information processing,0.562
acm transactions on autonomous and adaptive systems,2.133
acm transactions on computational logic,0.961
acm transactions on computer systems,5.045
acm transactions on computer-human interaction,2.227
acm transactions on computing education,1.844
acm transactions on database systems,1.517
acm transactions on design automation of electronic systems,0.85
acm transactions on embedded computing systems,1.367
acm transactions on graphics,4.088
acm transactions on information and system security,2.103
acm transactions on information systems,2.312
acm transactions on intelligent systems and technology,3.196
acm transactions on internet technology,1.489
acm transactions on knowledge discovery from data,1.895
acm transactions on mathematical software,3.275
acm transactions on modeling and computer simulation,1
acm transactions on multimedia computing communications and applications,2.25
acm transactions on programming languages and systems,3.033
acm transactions on reconfigurable technology and systems,1.409
acm transactions on sensor networks,2.322
acm transactions on software engineering and methodology,2.516
acm transactions on storage,1.618
acm transactions on the web,1.526
acoustical physics,0.734
acoustics australia,0.604
across languages and cultures,0.154
acs applied materials & interfaces,7.504
acs biomaterials science & engineering,3.234
acs catalysis,10.614
acs central science,7.481
acs chemical biology,4.995
acs chemical neuroscience,3.883
acs combinatorial science,3.168
acs infectious diseases,3.6
acs macro letters,6.185
acs medicinal chemistry letters,3.746
acs nano,13.942
acs photonics,6.756
acs sustainable chemistry & engineering,5.951
acs synthetic biology,5.382
acsms health & fitness journal,0.566
acta acustica united with acustica,1.119
acta adriatica,0.302
acta agriculturae scandinavica section a-animal science,0.34
acta agriculturae scandinavica section b-soil and plant science,0.651
acta alimentaria,0.357
acta amazonica,0.775
acta anaesthesiologica scandinavica,2.438
acta applicandae mathematicae,0.702
acta arithmetica,0.563
acta astronautica,1.536
acta astronomica,3.043
acta biochimica et biophysica sinica,2.2
acta biochimica polonica,1.159
acta bioethica,0.098
acta biologica cracoviensia series botanica,0.491
acta biologica hungarica,0.506
acta biomaterialia,6.319
acta bioquimica clinica latinoamericana,0.093
acta biotheoretica,0.646
acta botanica brasilica,0.65
acta botanica croatica,0.516
acta botanica gallica,0.871
acta botanica mexicana,0.625
acta cardiologica,0.808
acta cardiologica sinica,0.342
acta carsologica,0.585
acta chimica sinica,2.131
acta chimica slovenica,0.983
acta chiropterologica,1.04
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,0.56
acta chirurgica belgica,0.494
acta chromatographica,0.755
acta cirurgica brasileira,0.729
acta clinica belgica,0.622
acta clinica croatica,0.497
acta crystallographica a-foundation and advances,5.725
acta crystallographica section b-structural science crystal engineering and materials,2.032
acta crystallographica section c-structural chemistry,4.099
acta crystallographica section d-structural biology,2.114
acta crystallographica section f-structural biology communications,0.799
acta dermato-venereologica,3.653
acta dermatovenerologica croatica,0.725
acta diabetologica,3.34
acta endocrinologica-bucharest,0.25
acta entomologica musei nationalis pragae,0.632
acta ethologica,1.417
acta gastro-enterologica belgica,0.632
acta geodaetica et geophysica,0.794
acta geodynamica et geomaterialia,0.699
acta geographica slovenica-geografski zbornik,0.533
acta geologica polonica,0.917
acta geologica sinica-english edition,1.708
acta geophysica,0.968
acta geotechnica,2.801
acta geotechnica slovenica,0.2
acta haematologica,1.205
acta herpetologica,0.654
acta histochemica,1.36
acta histochemica et cytochemica,0.879
acta histriae,0.219
acta ichthyologica et piscatoria,0.67
acta informatica,1
acta linguistica hungarica,0.2
acta materialia,5.301
acta mathematica,2.448
acta mathematica hungarica,0.583
acta mathematica scientia,0.483
acta mathematica sinica english series,科技核心
acta mathematica sinica-english series,0.446
acta mathematicae applicatae sinica,科技核心
acta mathematicae applicatae sinica-english series,0.242
acta mechanica,1.851
acta mechanica sinica,1.324
acta mechanica solida sinica,0.736
acta medica mediterranea,0.196
acta medica okayama,0.8
acta medica portuguesa,0.498
acta metallurgica sinica,0.584
acta metallurgica sinica-english letters,1.292
acta microbiologica et immunologica hungarica,0.921
acta microscopica,0.07
acta montanistica slovaca,0.769
acta naturae,1.667
acta neurobiologiae experimentalis,1.207
acta neurochirurgica,1.881
acta neurologica belgica,1.722
acta neurologica scandinavica,3.087
acta neuropathologica,12.213
acta neuropsychiatrica,1.939
acta numerica,6.25
acta obstetricia et gynecologica scandinavica,2.48
acta oceanologica sinica,0.73
acta odontologica scandinavica,1.232
acta oecologica-international journal of ecology,1.652
acta oeconomica,0.379
acta of bioengineering and biomechanics,0.914
acta oncologica,3.156
acta ophthalmologica,3.157
acta ornithologica,0.896
acta orthopaedica,3.446
acta orthopaedica belgica,0.576
acta orthopaedica et traumatologica turcica,0.599
acta ortopedica brasileira,0.538
acta oto-laryngologica,1.116
acta otorhinolaryngologica italica,1.53
acta paediatrica,2.043
acta palaeontologica polonica,1.565
acta parasitologica,1.16
acta paulista de enfermagem,0.433
acta petrologica sinica,1.148
acta pharmaceutica,1.288
acta pharmaceutica sinica b,科技核心
acta pharmacologica sinica,3.223
acta physica polonica a,0.469
acta physica polonica b,0.904
acta physica sinica,0.624
acta physica slovaca,1.455
acta physico-chimica sinica,0.767
acta physiologiae plantarum,1.364
acta physiologica,4.867
acta physiologica hungarica,0.571
acta politica,1.532
acta poloniae pharmaceutica,0.745
acta polymerica sinica,0.433
acta polytechnica hungarica,0.745
acta protozoologica,1.481
acta psychiatrica scandinavica,6.79
acta psychologica,2.031
acta radiologica,2.011
acta reumatologica portuguesa,0.929
acta scientiae veterinariae,0.234
acta scientiarum polonorum-hortorum cultus,0.523
acta scientiarum-agronomy,0.558
acta scientiarum-technology,0.259
acta societatis botanicorum poloniae,0.917
acta sociologica,1.225
acta theriologica,0.968
acta tropica,2.218
acta veterinaria brno,0.415
acta veterinaria hungarica,0.814
acta veterinaria scandinavica,1.472
acta virologica,0.673
acta zoologica,1.211
acta zoologica academiae scientiarum hungaricae,0.52
acta zoologica bulgarica,0.413
actas espanolas de psiquiatria,1.339
actas urologicas espanolas,1.181
actes de la recherche en sciences sociales,0.205
action research,0.667
active learning in higher education,1.258
acupuncture & electro-therapeutics research,0.87
acupuncture in medicine,2.156
ad hoc & sensor wireless networks,1.034
ad hoc networks,3.047
adansonia,0.378
adapted physical activity quarterly,1.45
adaptive behavior,1.019
addiction,5.789
addiction biology,4.603
addiction research & theory,1.324
addictive behaviors,2.944
adicciones,2.077
administration & society,1.092
administration and policy in mental health and mental health services research,2.616
administrative science quarterly,4.929
adsorption science & technology,0.754
adsorption-journal of the international adsorption society,2.074
adult education quarterly,0.919
advanced composite materials,1.407
advanced composites letters,0.375
advanced drug delivery reviews,11.764
advanced electronic materials,4.193
advanced energy materials,16.721
advanced engineering informatics,2.68
advanced engineering materials,2.319
advanced functional materials,12.124
advanced healthcare materials,5.11
advanced materials,19.791
advanced materials & processes,0.204
advanced materials interfaces,4.279
advanced nonlinear studies,1.072
advanced optical materials,6.875
advanced powder technology,2.659
advanced robotics,0.92
advanced science,9.034
advanced steel construction,0.847
advanced synthesis & catalysis,5.646
advances in agronomy,5.843
advances in anatomic pathology,2.57
advances in anatomy embryology and cell biology,1.209
advances in applied ceramics,1.325
advances in applied clifford algebras,0.643
advances in applied mathematics,0.849
advances in applied mathematics and mechanics,0.763
advances in applied mechanics,3
advances in applied probability,0.955
advances in astronomy,0.75
advances in atmospheric sciences,1.483
advances in atomic molecular and optical physics,2.833
advances in biochemical engineering-biotechnology,2.222
advances in botanical research,1.191
advances in calculus of variations,1.182
advances in cancer research,6.267
advances in carbohydrate chemistry and biochemistry,2.5
advances in catalysis,6.8
advances in cement research,0.646
advances in chemical physics,1.642
advances in child development and behavior,1.391
advances in chromatography,1
advances in chronic kidney disease,2.757
advances in clinical and experimental medicine,1.179
advances in clinical chemistry,4.722
advances in cognitive psychology,1.357
advances in colloid and interface science,7.223
advances in complex systems,0.833
advances in computational mathematics,1.316
advances in computers,0.789
advances in condensed matter physics,1.044
advances in data analysis and classification,2.326
advances in difference equations,0.335
advances in differential equations,1.236
advances in ecological research,5.056
advances in electrical and computer engineering,0.595
advances in engineering software,3
advances in experimental medicine and biology,1.881
advances in experimental social psychology,5.65
advances in genetics,5.431
advances in geometry,0.552
advances in geophysics,4.2
advances in health sciences education,1.852
advances in heterocyclic chemistry,4.303
advances in high energy physics,1.74
advances in inorganic chemistry,3.105
advances in life course research,1.642
advances in marine biology,2.286
advances in materials science and engineering,1.299
advances in mathematical physics,0.643
advances in mathematics,1.373
advances in mathematics of communications,0.8
advances in mechanical engineering,0.827
advances in medical sciences,1.364
advances in meteorology,1.277
advances in microbial physiology,3.55
advances in neonatal care,1.277
advances in nonlinear analysis,2.844
advances in nursing science,0.683
advances in nutrition,5.233
advances in optics and photonics,17.833
advances in organometallic chemistry,5.462
advances in parasitology,4.255
advances in physical organic chemistry,0.75
advances in physics,21.818
advances in physiology education,1.755
advances in polar science,科技核心
advances in polymer science,3.141
advances in polymer technology,1.291
advances in production engineering & management,1.424
advances in quantum chemistry,1.196
advances in skin & wound care,1.088
advances in space research,1.401
advances in strategic management-a research annual,0.286
advances in structural engineering,0.829
advances in the study of behavior,2.4
advances in theoretical and mathematical physics,1.6
advances in therapy,2.709
advances in water resources,3.221
aeolian research,2.298
aequationes mathematicae,0.826
aerobiologia,2.202
aeronautical journal,0.525
aerosol and air quality research,2.606
aerosol science and technology,1.926
aerospace america,0.047
aerospace medicine and human performance,0.825
aerospace science and technology,2.057
aesthetic plastic surgery,1.32
aesthetic surgery journal,2.697
aeu-international journal of electronics and communications,1.147
